date,store_name,brand,budget,actual_sales,variance,variance_pct,customer_count,avg_spend,year,month,month_name,quarter,day_of_week,is_weekend,week_of_year
2021-01-04,OASIS,PIZZA INN,1513.9215102200394,2095.5,581.5784897799606,38.4153660446658,147.0,14.255102040816327,2021,1,January,1,Monday,False,1
2021-01-04,OASIS,CREAMY INN,68.1985530820696,181.0,112.8014469179304,165.4015251352709,35.0,5.171428571428572,2021,1,January,1,Monday,False,1
2021-01-05,LA PIAZZA,CHICKEN INN,1066.5935000000002,758.5,-308.0935000000002,-28.88574700670875,145.0,5.231034482758621,2021,1,January,1,Tuesday,False,1
2021-01-05,LA PIAZZA,PIZZA INN,4130.7235,3264.75,-865.9735000000001,-20.96420881233033,270.0,12.091666666666669,2021,1,January,1,Tuesday,False,1
2021-01-05,LA PIAZZA,CREAMY INN,507.81299999999976,366.5,-141.31299999999976,-27.8277633695868,107.0,3.425233644859813,2021,1,January,1,Tuesday,False,1
2021-01-05,LA PIAZZA,GALITOS,582.844,647.96,65.11599999999999,11.172114665330684,113.0,5.734159292035399,2021,1,January,1,Tuesday,False,1
2021-01-05,CARREFOUR,CHICKEN INN,1230.6870000000004,980.75,-249.93700000000035,-20.30873812756617,170.0,5.769117647058824,2021,1,January,1,Tuesday,False,1
2021-01-05,CARREFOUR,PIZZA INN,6551.018999999999,5926.19,-624.8289999999997,-9.537890212194466,427.0,13.878665105386416,2021,1,January,1,Tuesday,False,1
2021-01-05,CARREFOUR,CREAMY INN,728.3365,664.0,-64.3365,-8.833348321826518,178.0,3.730337078651685,2021,1,January,1,Tuesday,False,1
2021-01-05,CARREFOUR,GALITOS,977.1225,480.25,-496.8725,-50.85058424097285,74.0,6.489864864864865,2021,1,January,1,Tuesday,False,1
2021-01-05,CITY MARKET,CHICKEN INN,713.153,474.0,-239.153,-33.5345991673596,120.0,3.95,2021,1,January,1,Tuesday,False,1
2021-01-05,CITY MARKET,PIZZA INN,802.1369999999998,664.26,-137.87699999999984,-17.18870965932252,66.0,10.064545454545454,2021,1,January,1,Tuesday,False,1
2021-01-05,JUNCTION,CHICKEN INN,1692.9000000000003,1854.75,161.84999999999968,9.560517455254276,239.0,7.760460251046025,2021,1,January,1,Tuesday,False,1
2021-01-05,JUNCTION,PIZZA INN,3093.7797,5401.5,2307.7203000000004,74.59226330821166,385.0,14.02987012987013,2021,1,January,1,Tuesday,False,1
2021-01-05,JUNCTION,CREAMY INN,372.2994,471.25,98.9506,26.57823246559087,85.0,5.544117647058823,2021,1,January,1,Tuesday,False,1
2021-01-05,JUNCTION,GALITOS,1692.2961,864.75,-827.5461,-48.90078633402275,121.0,7.146694214876033,2021,1,January,1,Tuesday,False,1
2021-01-05,OASIS,CHICKEN INN,465.1136768611038,483.75,18.636323138896216,4.006831892079913,58.0,8.34051724137931,2021,1,January,1,Tuesday,False,1
2021-01-05,OASIS,PIZZA INN,1334.0580587089098,2292.0,957.9419412910902,71.80661553951995,159.0,14.41509433962264,2021,1,January,1,Tuesday,False,1
2021-01-05,OASIS,CREAMY INN,72.21384730970885,79.5,7.286152690291146,10.08968911328389,14.0,5.678571428571429,2021,1,January,1,Tuesday,False,1
2021-01-06,LA PIAZZA,CHICKEN INN,3287.000000000001,785.25,-2501.750000000001,-76.11043504715546,117.0,6.711538461538462,2021,1,January,1,Wednesday,False,1
2021-01-06,LA PIAZZA,PIZZA INN,6620.882500000001,1475.75,-5145.132500000001,-77.71067527629437,138.0,10.693840579710145,2021,1,January,1,Wednesday,False,1
2021-01-06,LA PIAZZA,CREAMY INN,2359.457999999999,263.0,-2096.457999999999,-88.85337225752694,75.0,3.506666666666667,2021,1,January,1,Wednesday,False,1
2021-01-06,LA PIAZZA,GALITOS,2214.8775,656.25,-1558.6275,-70.37082186260865,87.0,7.543103448275862,2021,1,January,1,Wednesday,False,1
2021-01-06,CARREFOUR,CHICKEN INN,6292.1635000000015,954.0,-5338.1635000000015,-84.83828336628571,144.0,6.625,2021,1,January,1,Wednesday,False,1
