date,store_name,brand,budget,actual_sales,variance,variance_pct,customer_count,avg_spend
19/1/2021,CITY MARKET,CHICKEN INN,517.363,742.25,224.887,43.46793257,192,3.865885417
20/1/2021,LA PIAZZA,CHICKEN INN,998.6495,644,-354.6495,-35.51291019,116,5.551724138
20/1/2021,CARREFOUR,CHICKEN INN,1519.1355,981.75,-537.3855,-35.37442842,149,6.588926174
20/1/2021,CITY MARKET,CHICKEN INN,615.363,377.5,-237.863,-38.65409523,106,3.561320755
20/1/2021,JUNCTION,CHICKEN INN,1830.1734,1384.5,-445.6734,-24.35143031,175,7.911428571
20/1/2021,OASIS,CHICKEN INN,502.8286841,467,-35.82868413,-7.125425669,63,7.412698413
21/1/2021,OASIS,CHICKEN INN,694.9097528,341.75,-353.1597528,-50.82095213,48,7.119791667
21/1/2021,CITY MARKET,CHICKEN INN,513.541,363,-150.541,-29.31430986,93,3.903225806
21/1/2021,JUNCTION,CHICKEN INN,2529.3015,1438.25,-1091.0515,-43.13647464,159,9.045597484
21/1/2021,LA PIAZZA,CHICKEN INN,1078.3925,819,-259.3925,-24.05362611,116,7.060344828
21/1/2021,CARREFOUR,CHICKEN INN,1880.1355,889.5,-990.6355,-52.68958009,121,7.351239669
22/1/2021,LA PIAZZA,CHICKEN INN,1027.1495,914.5,-112.6495,-10.96719611,159,5.751572327
22/1/2021,CARREFOUR,CHICKEN INN,1213.1215,832.75,-380.3715,-31.35477362,119,6.99789916
22/1/2021,CITY MARKET,CHICKEN INN,496.573,497.75,1.177,0.237024566,121,4.113636364
22/1/2021,JUNCTION,CHICKEN INN,1676.3967,1324.5,-351.8967,-20.99125464,185,7.159459459
22/1/2021,OASIS,CHICKEN INN,460.5794985,401,-59.5794985,-12.93576868,59,6.796610169
23/1/2021,JUNCTION,CHICKEN INN,2299.2948,1994.25,-305.0448,-13.26688513,217,9.190092166
23/1/2021,CITY MARKET,CHICKEN INN,735.217,512.25,-222.967,-30.32669266,146,3.508561644
23/1/2021,OASIS,CHICKEN INN,631.7168519,609.75,-21.96685192,-3.477325617,74,8.239864865
23/1/2021,LA PIAZZA,CHICKEN INN,1414.056,1082.25,-331.806,-23.46484156,168,6.441964286
23/1/2021,CARREFOUR,CHICKEN INN,1995.5795,1404,-591.5795,-29.64449675,189,7.428571429
24/1/2021,OASIS,CHICKEN INN,1012.498075,1035.75,23.25192473,2.296490759,118,8.777542373
24/1/2021,JUNCTION,CHICKEN INN,3685.2453,3269.25,-415.9953,-11.28813054,339,9.64380531
24/1/2021,LA PIAZZA,CHICKEN INN,1306.1075,1310,3.8925,0.298022942,168,7.797619048
24/1/2021,CARREFOUR,CHICKEN INN,2369.243,2255.5,-113.743,-4.800816126,263,8.576045627
24/1/2021,CITY MARKET,CHICKEN INN,366.331,427.5,61.169,16.69774057,83,5.15060241
25/1/2021,JUNCTION,CHICKEN INN,1732.2624,1051,-681.2624,-39.32789859,156,6.737179487
