date,year,quarter,month,month_name,year_month,week_number,day,day_of_week,day_of_week_num,is_weekend,is_month_end,country,region,complex,brand,budget,actual_revenue,variance_budget,variance_budget_pct,sdlm_revenue,sdlm_revenue_var,sdlm_revenue_var_pct,sdly_revenue,sdly_revenue_var,sdly_revenue_var_pct,customer_count,sdlm_customer_count,sdly_customer_count,avg_spend,sdlm_avg_spend,sdly_avg_spend,is_synthetic
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,LA PIAZZA,GALITOS,629.0538442,655.76,26.70615585,4.245448318,714.24,-58.48,-8.187724014,485.09,170.67,35.18316189,100,105,75,6.5576,6.802285714,6.467866667,0
13/1/2020,2020,1,1,January,2020-01,3,13,Monday,0,0,0,DRC,KINSHASA,LA PIAZZA,PIZZA INN,1665.616324,1330.66,-334.9563241,-20.11005291,1707.03,-376.37,-22.04823582,1238.18,92.48,7.46902712,144,179,176,9.240694444,9.536480447,7.035113636,0
14/1/2020,2020,1,1,January,2020-01,3,14,Tuesday,1,0,0,DRC,KINSHASA,CARREFOUR,CHICKEN INN,1182.78992,1523.34,340.5500805,28.79210204,1611.82,-88.48,-5.489446712,944.91,578.43,61.21535384,228,231,170,6.681315789,6.977575758,5.558294118,0
14/1/2020,2020,1,1,January,2020-01,3,14,Tuesday,1,0,0,DRC,KINSHASA,CARREFOUR,CREAMY INN,527.1133149,668.48,141.3666851,26.81903134,686.06,-17.58,-2.562458094,523.03,145.45,27.80911229,180,185,173,3.713777778,3.708432432,3.023294798,0
14/1/2020,2020,1,1,January,2020-01,3,14,Tuesday,1,0,0,DRC,KINSHASA,CARREFOUR,GALITOS,912.4117954,813.03,-99.38179539,-10.89220853,978.79,-165.76,-16.9351955,954.97,-141.94,-14.86329413,94,94,75,8.649255319,10.41265957,12.73293333,0
14/1/2020,2020,1,1,January,2020-01,3,14,Tuesday,1,0,0,DRC,KINSHASA,CARREFOUR,PIZZA INN,5101.158736,8345.51,3244.351264,63.60028049,8971.86,-626.35,-6.981272557,6052.91,2292.6,37.87599683,683,737,515,12.2189019,12.17348711,11.7532233,0
14/1/2020,2020,1,1,January,2020-01,3,14,Tuesday,1,0,0,DRC,KINSHASA,CITY MARKET,CHICKEN INN,942.1845389,885.91,-56.27453893,-5.972772488,963.94,-78.03,-8.094902172,1274.55,-388.64,-30.49233063,266,294,445,3.330488722,3.278707483,2.864157303,0
14/1/2020,2020,1,1,January,2020-01,3,14,Tuesday,1,0,0,DRC,KINSHASA,CITY MARKET,PIZZA INN,1045.90061,1090.32,44.41938975,4.246999124,762.36,327.96,43.01904612,1086.67,3.65,0.33588854,120,95,127,9.086,8.024842105,8.556456693,0
14/1/2020,2020,1,1,January,2020-01,3,14,Tuesday,1,0,0,DRC,KINSHASA,INN-KIN,CHICKEN INN,1779.98995,1385.46,-394.5299502,-22.16472908,2466.37,-1080.91,-43.82594663,1055.09,330.37,31.31202078,197,247,160,7.032791878,9.985303644,6.5943125,0
14/1/2020,2020,1,1,January,2020-01,3,14,Tuesday,1,0,0,DRC,KINSHASA,INN-KIN,CREAMY INN,443.4809512,329.7,-113.7809512,-25.65633335,357.03,-27.33,-7.654818923,295.82,33.88,11.45291055,92,110,89,3.583695652,3.245727273,3.323820225,0
14/1/2020,2020,1,1,January,2020-01,3,14,Tuesday,1,0,0,DRC,KINSHASA,INN-KIN,GALITOS,1074.776167,1598.19,523.4138326,48.69979895,1974.24,-376.05,-19.04783613,819.64,778.55,94.98682348,186,202,96,8.592419355,9.773465347,8.537916667,0
